Date,Trade,Weekday,Hour,Direction,EMA,SL,Pullback,TP,Extra,BOS/CH,30M Leg,Hours Until News,News Event
2025-07-01,#1,Tuesday,11,Buy,Sell,10.0,1.0,52,,CH,Above H,6,JOLTS
2025-07-01,#2,Tuesday,11,Buy,Buy,6.3,0.7,32,,BOS,Above H,6,JOLTS
2025-07-01,#3,Tuesday,15,Buy,Sell,6.4,6.4,0,,BOS,Above H,2,JOLTS
2025-07-01,#4,Tuesday,17,Sell,Sell,14.9,0.5,35,,BOS,Above H,,
2025-07-01,#5,Tuesday,18,Sell,Sell,9.0,0.5,17,,BOS,Above H,,
2025-07-02,#1,Wednesday,10,Sell,Sell,4.0,1.8,32,,BOS,Above L,,
2025-07-02,#2,Wednesday,11,Sell,Sell,4.0,4.0,0,,BOS,Above L,5,ADP Non Farm
2025-07-02,#3,Wednesday,11,Buy,Sell,6.1,6.1,0,,CH,Above L,4,ADP Non Farm
2025-07-02,#4,Wednesday,12,Sell,Sell,5.1,4.6,29,,CH,Above L,4,ADP Non Farm
2025-07-02,#5,Wednesday,12,Sell,Sell,2.9,2.9,0,,BOS,Above L,3,ADP Non Farm
2025-07-02,#6,Wednesday,12,Buy,Sell,3.2,0.5,10,,CH,Above L,3,ADP Non Farm
2025-07-02,#7,Wednesday,12,Buy,Sell,5.8,5.8,0,,BOS,Above L,3,ADP Non Farm
2025-07-02,#8,Wednesday,15,Buy,Sell,13.0,9.4,40,,CH,Below L,,
2025-07-03,#1,Thursday,10,Buy,Sell,3.7,0.5,14,,CH,Above L,7,Unemployments Claims
2025-07-03,#2,Thursday,11,Buy,Sell,4.0,4.0,0,,BOS,Above L,6,Unemployments Claims
2025-07-03,#3,Thursday,12,Sell,Sell,1.7,1.7,0,,BOS,Above L,5,Unemployments Claims
2025-07-03,#4,Thursday,12,Sell,Sell,1.1,1.1,0,,BOS,Above L,5,Unemployments Claims
2025-07-03,#5,Thursday,12,Buy,Sell,2.2,2.2,0,,CH,Above L,5,Unemployments Claims
2025-07-03,#6,Thursday,13,Buy,Buy,2.6,2.6,0,,BOS,Above L,4,Unemployments Claims
2025-07-03,#7,Thursday,14,Sell,Sell,4.9,3.8,74,,BOS,Above L,3,Unemployments Claims
2025-07-03,#8,Thursday,14,Sell,Sell,2.6,2.6,0,,BOS,Above L,3,Unemployments Claims
2025-07-03,#9,Thursday,17,Sell,Buy,7.7,0.5,42,,BOS,Above L,1,ISM
2025-07-04,#1,Friday,10,Sell,Sell,0.7,0.7,0,,BOS,Above L,,
2025-07-04,#2,Friday,14,Buy,Sell,2.7,2.7,0,,BOS,Above L,,
2025-07-04,#3,Friday,15,Sell,Sell,1.9,1.9,0,,BOS,Above L,,
2025-07-07,#1,Monday,10,Sell,Sell,2.7,2.7,0,,CH,Above L,,
2025-07-07,#2,Monday,11,Sell,Sell,3.3,3.2,31,,BOS,Above L,,
2025-07-07,#3,Monday,11,Sell,Sell,2.7,2.7,0,,BOS,Above L,,
2025-07-07,#4,Monday,12,Buy,Sell,4.8,4.8,0,,CH,Above L,,
2025-07-07,#5,Monday,13,Sell,Sell,2.5,2.5,0,,BOS,Above L,,
2025-07-07,#6,Monday,14,Buy,Sell,3.9,3.9,0,,BOS,Above L,,
2025-07-07,#7,Monday,15,Sell,Sell,3.5,1.7,14,,CH,Above L,,
2025-07-07,#8,Monday,16,Sell,Sell,6.6,6.6,0,,BOS,Above L,,
2025-07-07,#9,Monday,17,Sell,Buy,4.5,4.5,0,,CH,Above L,,
2025-07-07,#10,Monday,18,Buy,Sell,1.8,1.8,0,,CH,,,
2025-07-08,#1,Tuesday,,Buy,Buy,5.1,0.5,14,,BOS,,,
2025-07-08,#2,Tuesday,,Buy,Buy,4.0,0.5,10,,BOS,,,
2025-07-08,#3,Tuesday,,Buy,Buy,5.1,0.5,8,,BOS,,,
