Date,Weekday,Trade,4H (42.9%),Direction,SL,Pullback,TP,44.4%,ROI,R SL ,R Pullback,R TP,40%,R ROI,S SL,S Pullback,S TP,250%,S ROI
2026-07-27,Monday,#1,Buy,Sell,4.4,0.7,34,7R,,,,,,,,,,,
2026-07-27,Monday,#2,Sell,Sell,4.3,3.5,23,5R,,,,,,,,,,,
2026-07-27,Monday,#3,Sell,Sell,7.1,7.1,,,,,,,,,,,,,
2026-07-28,Tuesday,#1,Buy,Sell,4.5,4.5,,,,,,,,,,,,,
2026-07-28,Tuesday,#2,Sell,Sell,3.0,3.0,,,,,,,,,,,,,
2026-07-28,Tuesday,#3,Buy,Buy,2.6,2.7,31,-10R,,,,,,,,,,,
2026-07-29,Wednesday,#1,Buy,Sell,4.3,0.9,17,3R,,,,,,,,,,,
2026-07-29,Wednesday,#2,Buy,Sell,2.7,3.0,10,-3R,,,,,,,,,,,
2026-07-29,Wednesday,#3,Buy,Sell,5.8,5.8,,,,,,,,,,,,,
2026-07-29,Wednesday,#4,Buy,Buy,4.9,4.9,,,,,,,,,,,,,
2026-07-30,Thursday,#1,Buy,Sell,7.7,7.7,,,,,,,,,,,,,
2026-07-30,Thursday,#2,Buy,Buy,8.7,8.9,82,-9R,,,,,,,,,,,
2026-07-30,Thursday,#3,Buy,Buy,9.4,0.0,79,8R,,,,,,,,,,,
2026-07-31,Friday,#1,Buy,Sell,5.5,5.5,,,,,,,,,,,,,
2026-07-31,Friday,#2,Buy,Sell,8.9,5.8,48,5R,,,,,,,,,,,
2026-07-31,Friday,#3,Buy,Sell,5.7,2.7,46,8R,,,,,,,,,,,
2026-07-31,Friday,#4,Buy,Sell,3.7,0.1,17,4R,,,,,,,,,,,
2026-07-31,Friday,#5,Buy,Buy,4.2,4.0,14,3R,,,,,,,,,,,
2026-08-03,Monday,#1,Sell,Buy,5.1,5.1,,,,,,,,,,,,,
2026-08-03,Monday,#2,Sell,Buy,6.5,6.5,,,,,,,,,,,,,
2026-08-04,Tuesday,#1,Sell,Buy,4.2,4.2,,,,,,,,,,,,,
2026-08-04,Tuesday,#2,Sell,Buy,8.2,8.2,,,,,,,,,,,,,
2026-08-05,Wednesday,#1,Sell,Buy,4.3,4.3,,,,,,,,,,,,,
2026-08-06,Thursday,#1,Sell,Sell,5.4,5.4,,,,,,,,,,,,,
2026-08-06,Thursday,#2,Sell,Sell,9.5,4.2,20,2R,,,,,,,,,,,
2026-08-06,Thursday,#3,Sell,Sell,7.6,0.3,13,1R,,,,,,,,,,,
2026-08-07,Friday,#1,Sell,Buy,5.7,3.2,52,9R,,,,,,,,,,,
2026-08-07,Friday,#2,Sell,Buy,5.5,5.4,48,8R,,,,,,,,,,,
2026-08-10,Monday,#1,Buy,Buy,7.5,7.5,,,,,,,,,,,,,
2026-08-10,Monday,#2,Sell,Sell,4.2,1.1,16,3R,,,,,,,,,,,
2026-08-10,Monday,#3,Sell,Sell,4.1,3.3,11,2R,,,,,,,,,,,
2026-08-10,Monday,#4,Sell,Sell,3.2,3.2,,,,,,,,,,,,,
2026-08-10,Monday,#5,Sell,Sell,5.6,5.6,,,,,,,,,,,,,
2026-08-11,Tuesday,#1,Sell,Sell,5.7,5.7,,,,,,,,,,,,,
2026-08-11,Tuesday,#2,Sell,Buy,7.2,7.2,,,,,,,,,,,,,
2026-08-11,Tuesday,#3,Sell,Buy,5.4,5.4,,,,,,,,,,,,,
2026-08-11,Tuesday,#4,Sell,Sell,7.4,7.4,,,,,,,,,,,,,
2026-08-12,Wednesday,#1,Sell,Buy,4.5,4.5,,,,,,,,,,,,,
2026-08-12,Wednesday,#2,Sell,Sell,3.9,3.9,,,,,,,,,,,,,
2026-08-12,Wednesday,#3,Sell,Sell,6.2,2.4,20,3R,,,,,,,,,,,
2026-08-12,Wednesday,#4,Sell,Sell,3.5,3.3,12,3R,,,,,,,,,,,
2026-08-13,Thursday,#1,Buy,Buy,3.4,3.4,,,,,,,,,,,,,
2026-08-13,Thursday,#2,Buy,Sell,2.7,2.7,,,,,,,,,,,,,
2026-08-13,Thursday,#3,Buy,Sell,4.4,4.4,,,,,,,,,,,,,
2026-08-14,Friday,#1,Buy,Buy,3.6,4.5,29,-6R,,,,,,,,,,,
2026-08-14,Friday,#2,Buy,Buy,3.4,0.5,26,7R,,,,,,,,,,,
2026-08-17,Monday,#1,Buy,Buy,7.7,7.7,,,,,,,,,,,,,
2026-08-17,Monday,#2,Buy,Sell,7.8,3.3,28,3R,,,,,,,,,,,
2026-08-17,Monday,#3,Buy,Sell,2.1,5.0,24,-4R,,,,,,,,,,,
2026-08-17,Monday,#4,Buy,Sell,5.8,7.3,21,-2R,,,,,,,,,,,
2026-08-17,Monday,#5,Buy,Sell,2.3,2.3,,,,,,,,,,,,,
2026-08-17,Monday,#6,Buy,Buy,7.2,7.2,,,,,,,,,,,,,
2026-08-17,Monday,#7,Buy,Sell,7.1,4.9,16,2R,,,,,,,,,,,
2026-08-18,Tuesday,#1,Sell,Buy,3.6,3.6,,,,,,,,,,,,,
2026-08-19,Wednesday,#1,Sell,Buy,7.9,7.1,73,9R,,,,,,,,,,,
2026-08-19,Wednesday,#2,Sell,Buy,3.0,7.0,70,-10R,,,,,,,,,,,
2026-08-20,Thursday,#1,Buy,Buy,10.2,4.2,20,1R,,,,,,,,,,,
2026-08-20,Thursday,#2,Buy,Buy,3.7,5.6,16,-2R,,,,,,,,,,,
2026-08-20,Thursday,#3,Buy,Buy,8.9,2.8,12,1R,,,,,,,,,,,
2026-08-20,Thursday,#4,Buy,Sell,5.9,1.3,28,4R,,,,,,,,,,,
2026-08-20,Thursday,#5,Buy,Sell,8.4,8.4,,,,,,,,,,,,,
2026-08-21,Friday,#1,Buy,Buy,9.4,9.4,,,,,,,,,,,,,
2026-08-21,Friday,#2,Sell,Sell,4.4,1.6,15,3R,,,,,,,,,,,
2026-08-21,Friday,#3,Sell,Sell,8.4,8.4,,,,,,,,,,,,,
2026-08-25,Tuesday,#1,Buy,Buy,4.4,4.4,,,Strategy,,,,,Regular,,,,,Scalping
2026-08-26,Wednesday,#1,Sell,Buy,4.8,4.8,,,-1R,,,,,0R,,,,,0R
2026-08-26,Wednesday,#2,Sell,Sell,4.6,4.6,,,-2R,,,,,0R,4.8,4.8,,,-1R
2026-08-26,Wednesday,#3,Sell,Sell,2.5,2.5,,,-3R,2.5,2.5,,,-1R,,,,,-1R
2026-08-26,Wednesday,#4,Sell,Sell,2.9,2.9,,,-4R,,,,,-1R,,,,,-1R
2026-08-26,Wednesday,#5,Sell,Buy,4.5,4.5,,,-5R,,,,,-1R,,,,,-1R
2026-08-26,Wednesday,#6,Sell,Sell,9.4,2.8,13,1R,-6R,,,,,-1R,,,,,-1R
2026-08-26,Wednesday,#7,Sell,Sell,2.7,2.7,,,-7R,,,,,-1R,,,,,-1R
2026-08-27,Thursday,#1,Buy,Sell,5.0,1.3,14,2R,-5R,3,0,12,4R,3R,,,,,-1R
2026-08-27,Thursday,#2,Sell,Sell,4.9,4.9,,,-6R,,,,,3R,,,,,-1R
2026-08-27,Thursday,#3,Buy,Buy,8.6,1.6,11,1R,-7R,,,,,3R,,,,,-1R
2026-08-28,Friday,#1,Sell,Sell,3.4,3.4,,,-8R,3.4,3.4,,,2R,,,,,-1R
2026-08-28,Friday,#2,Sell,Sell,3.1,3.1,,,-9R,,,,,2R,,,,,-1R
2026-08-28,Friday,#3,Sell,Buy,4.0,4.0,,,-10R,,,,,2R,,,,,-1R
2026-08-28,Friday,#4,Sell,Sell,9.3,9.3,,,-11R,,,,,2R,,,,,-1R
2026-08-31,Monday,#1,Sell,Buy,5.2,5.2,,,-12R,,,,,2R,,,,,-1R
2026-08-31,Monday,#2,Sell,Buy,4.9,0.5,18,3R,-10R,,,,,2R,,,,,-1R
2026-09-01,Tuesday,#1,Sell,Sell,5.3,3.3,10,1R,-11R,,,,,2R,,,,,-1R
2026-09-01,Tuesday,#2,Sell,Buy,9.0,9.0,,,-12R,9.0,9.0,,,1R,,,,,-1R
2026-09-02,Wednesday,#1,Sell,Sell,9.6,9.6,,,-13R,,,,,1R,,,,,-1R
2026-09-02,Wednesday,#2,Buy,Buy,17.6,17.6,,,-14R,,,,,1R,,,,,-1R
2026-09-03,Thursday,#1,Buy,Buy,9.3,5.6,22,2R,-12R,,,,,1R,5,5,,-1R,-2R
2026-09-04,Friday,#1,Buy,Sell,5.9,4.0,38,6R,-10R,5.9,4.0,38,6R,7R,,,,-1R,-2R
2026-09-04,Friday,#2,Sell,Sell,4.1,4.1,,,-11R,,,,,7R,,,,-1R,-2R
2026-09-04,Friday,#3,Buy,Buy,4.4,4.4,,,-12R,,,,,7R,,,,-1R,-2R
2026-09-07,Monday,#1,Buy,Sell,8.6,2.1,12,1R,-13R,,,,,7R,,,,-1R,-2R
